system:index,Plot,precip,temp,.geo
00000000000000000000_0,BS002,88.0488,15.216963,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,BS003,74.72878,15.347113,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,BS004,98.37188,14.975433,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,BS005,101.49562,14.418713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,BS006,101.44942,14.357546,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,BS007,100.27755,14.450188,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,BS011,81.43642,15.239417,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,BS012,69.61237,15.318575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,BS015,83.35758,15.169721,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,BS016,83.35758,15.169721,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,BS017,85.18378,15.052167,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,BS018,86.05982,15.316862,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,BS019,87.5175,15.140171,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,BS020,87.5175,15.140171,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,BS022,93.90238,15.157296,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,BS026,80.175575,14.424667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,BS027,77.268715,14.7752,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,BS032,65.62954,15.422538,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,BS034,76.131836,15.462483,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,BS035,74.8547,15.472609,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,BS038,82.429665,15.648309,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,BS044,96.61837,15.184434,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,BS045,90.43029,15.298792,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,BS046,90.43029,15.298792,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,BS047,94.29783,15.473379,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,BS048,99.833595,15.323809,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,BS050,111.20728,15.340616,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,BS052,88.716,15.283942,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,BS053,73.4849,14.204604,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,BS054,69.8118,15.315838,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,BS057,90.43029,15.298792,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,BS058,100.86268,15.280067,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,BS059,100.86268,15.280067,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,BS060,103.47241,15.118396,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,BS062,85.815926,15.722183,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,BS063,85.18054,15.701846,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,BS066,89.968185,15.70495,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,BS070,83.481834,15.691563,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,BS071,96.26191,14.800046,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0,BS072,89.86343,15.508696,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,BS073,81.89938,15.594671,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,BS076,107.606575,14.704641,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,BS077,110.89388,14.864779,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,BS078,110.89388,14.864779,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,BS079,113.965996,14.834625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,BS080,113.965996,14.834625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,BS081,103.20025,13.5856,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,BS083,88.56708,12.888796,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,BS084,89.22641,13.21815,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,BS085,92.04842,14.194213,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,BS086,97.91654,14.497925,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,BS087,86.04629,13.588275,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,BS088,118.562706,14.218071,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0,BS089,127.694244,14.195372,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0,BS090,135.81067,14.212983,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0,BS092,135.7186,14.324954,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,BS094,111.957756,14.353988,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,BS098,95.73103,13.456787,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a_0,BS102,106.20571,13.528021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,BS103,103.20025,13.5856,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,BS111,124.78434,14.5650625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0,BS112,125.5085,14.653158,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e_0,BS118,103.00421,12.960892,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,BS119,110.91079,13.707188,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,BS121,130.56142,14.587771,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041_0,BS122,130.56142,14.587771,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,BS123,83.2955,13.063196,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043_0,BS124,87.92725,13.100759,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,BS125,80.99325,13.060367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,BS126,80.99325,13.060367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,BS128,82.96059,12.997638,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,BS129,75.87782,13.306933,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,BS130,75.87782,13.306933,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0,BS131,69.99166,13.363796,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,BS132,91.023125,14.449496,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b_0,BS133,95.53704,14.909662,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,BS134,92.04842,14.194213,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,BS135,85.29538,13.590625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,BS137,80.825096,13.228271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,BS138,63.51587,13.143833,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,BS139,67.05461,13.182413,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,BS140,71.0373,13.180417,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,BS141,67.56274,13.203009,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,BS144,78.95492,13.811188,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,BS146,95.25351,13.2730665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,BS147,97.327705,12.808267,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,BS148,117.25117,14.424383,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_0,BS149,117.25117,14.424383,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,BS150,119.97186,14.504717,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,BS151,105.523415,13.241275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,BS152,73.85959,13.758813,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,BS156,101.6447,14.826988,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_0,BS157,100.19054,14.444129,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_0,BS158,100.37054,14.464529,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e_0,BS159,96.06696,14.375525,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f_0,BS160,93.772545,14.484563,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,BS161,118.59184,14.316575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0,BS162,122.79099,13.986062,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,BS163,122.79099,13.986062,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0,BS165,95.53761,14.444313,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_0,BS166,94.67375,14.144525,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065_0,BS167,95.53761,14.444313,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0,BS168,96.17284,14.389204,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_0,BS172,117.18538,14.111809,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0,BS175,99.09671,14.876358,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,BS176,101.71246,14.797058,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,BS177,101.71246,14.797058,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0,BS186,76.557655,14.341787,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0,BS187,85.205635,14.463746,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0,BS188,76.557655,14.341787,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0,BS190,79.04279,14.348967,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0,BS193,91.003586,14.071967,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,BS194,91.003586,14.071967,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,BS195,94.44978,15.346775,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0,BS196,99.41249,15.273146,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0,BS201,99.92821,14.91565,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074_0,BS202,99.28667,15.153088,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,BS203,105.33897,15.260479,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,BS204,102.32621,15.1025715,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0,BS205,85.28175,14.021566,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0,BS207,82.53269,14.070846,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079_0,BS210,59.64791,14.261071,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a_0,BS217,93.80332,14.123146,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0,BS218,86.66116,14.199887,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0,BS219,93.80332,14.123146,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0,BS220,96.9897,13.865896,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,BS221,97.76913,14.396696,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0,BS222,100.205666,14.131938,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080_0,BS223,100.205666,14.131938,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_0,BS224,100.0957,14.459342,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082_0,BS226,100.02426,14.564713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_0,BS228,100.92105,14.65305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_0,BS229,104.067635,15.370692,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085_0,BS230,102.75962,14.701846,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086_0,BS232,100.81017,15.472992,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087_0,BS233,105.032,14.754483,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088_0,BS234,100.81017,15.472992,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089_0,BS236,95.65446,14.119838,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_0,BS239,86.66116,14.199887,"{""type"":""MultiPoint"",""coordinates"":[]}"
